프로빈스 번호,인게임 코드,한국어 명칭,영문 명칭,RGB,백작령,백작령 코드,백작령 색상,공작령,공작령 코드,공작령 색상,공작령 수도,왕국령,왕국령 코드,왕국령 색상,왕국령 수도,제국령,제국령 코드,제국령 색상,제국령 수도,문화,종교,홀딩,지형,특이사항,end,
26,b_26,서대문,w.gate,"170,65,90",서대문,c_west_gate,"234,45,233",마포,d_mapo,"180,125,100",c_mapo,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
27,b_27,마포,mapo,"180,125,90",마포,c_mapo,"180,125,90",마포,d_mapo,"180,125,100",c_mapo,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
28,b_28,종로,jongno,"180,25,100",종로,c_jongno,"180,25,100",서울,d_seoul,"180,25,100",c_jongno,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
29,b_29,중구,junggu,"170,65,90",중구,c_junggu,"180,225,60",서울,d_seoul,"180,25,100",c_jongno,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
30,b_30,용산,yongsan,"170,65,90",용산,c_yongsan,"132,146,216",서울,d_seoul,"180,25,100",c_jongno,서울,k_seoul,"75,30,230",c_jongno,,,,,kuriyn,muttahida,castle_holding,,,end,
31,b_31,성동,seongdong,"170,55,90",성동,c_seongdong,"17,255,90",동대문,d_fareast,"18,225,200",c_seongdong,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
32,b_32,성북,seongbuk,"170,55,90",성북,c_seongbuk,"80,25,98",성북,d_northeast,"80,25,117",c_seongbuk,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
33,b_33,강북,gangbuk,"170,65,90",강북,c_gangbuk,"10,225,60",성북,d_northeast,"80,25,117",c_seongbuk,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
34,b_34,동대문,e.gate,"170,65,90",동대문,c_east_gate,"95,17,93",동대문,d_fareast,"18,225,200",c_seongdong,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
35,b_35,도봉,dobong,"170,65,90",도봉,c_dobong,"18,25,160",성북,d_northeast,"80,25,117",c_seongbuk,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
36,b_36,노원,nowon,"170,65,90",노원,c_nowon,"32,249,110",성북,d_northeast,"80,25,117",c_seongbuk,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
37,b_37,중랑,jungnang,"170,65,90",중랑,c_jungnang,"215,125,110",동대문,d_fareast,"18,225,200",c_seongdong,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
38,b_38,광진,gwangjin,"170,65,90",광진,c_gwangjin,"216,22,189",동대문,d_fareast,"18,225,200",c_seongdong,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
39,b_39,구리,guri,"43,27,213",남양주,c_s.yangju,"43,27,213",의정부,d_uijeongbu,"43,42,88",c_uijeongbu,개성,k_gaeseong,"43,42,88",c_gaeseong,,,,,,,none,,,end,
40,b_40,강동,gangdong,"170,65,90",강동,c_gangdong,"211,254,180",강남,d_gangnam,"240,240,21",c_gangnam,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
41,b_41,송파,songpa,"170,65,90",송파,c_songpa,"118,225,6",강남,d_gangnam,"240,240,21",c_gangnam,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
42,b_42,강남,gangnam,"170,65,90",강남,c_gangnam,"196,167,250",강남,d_gangnam,"240,240,21",c_gangnam,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
43,b_43,서초,seocho,"170,65,90",서초,c_seocho,"18,72,161",강남,d_gangnam,"240,240,21",c_gangnam,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
44,b_44,동작,dongjak,"170,65,90",동작,c_dongjak,"36,197,240",영등포,d_yeongdeungpo,"21,255,255",c_yeongdeungpo,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
45,b_45,영등포,yeongdeungpo,"170,65,90",영등포,c_yeongdeungpo,"40,225,230",영등포,d_yeongdeungpo,"21,255,255",c_yeongdeungpo,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
46,b_46,강서,gangseo,"170,65,90",강서,c_gangseo,"0,231,200",영등포,d_yeongdeungpo,"21,255,255",c_yeongdeungpo,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
47,b_47,양천,yangcheon,"170,65,90",양천,c_yangcheon,"180,22,0",영등포,d_yeongdeungpo,"21,255,255",c_yeongdeungpo,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
48,b_48,구로,guro,"170,65,90",구로,c_guro,"80,5,0",영등포,d_yeongdeungpo,"21,255,255",c_yeongdeungpo,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
49,b_49,금천,geumcheon,"170,65,90",금천,c_geumcheon,"234,231,12",영등포,d_yeongdeungpo,"21,255,255",c_yeongdeungpo,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
50,b_50,관악,gwanak,"170,65,90",관악,c_gwanak,"61,85,255",영등포,d_yeongdeungpo,"21,255,255",c_yeongdeungpo,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
51,b_51,과천,gwacheon,"0,210,35",과천,c_gwacheon,"23,245,112",안산,d_ansan,"89,95,147",c_ansan,경기,k_gyeonggi,"168,39,42",c_suwon,,,,,suwon,mechanism,castle_holding,,,end,
52,b_52,성남,seongnam,"84,156,26",성남,c_seongnam,"84,156,26",성남,d_seongnam,"84,156,26",c_seongnam,경기,k_gyeonggi,"168,39,42",c_suwon,,,,,icheon,populism,castle_holding,,,end,
53,b_53,도척,docheok,"85,108,191",광주,c_kwangju,"85,108,191",성남,d_seongnam,"84,156,26",c_seongnam,경기,k_gyeonggi,"168,39,42",c_suwon,,,,,,,none,,,end,
54,b_54,하남,hanam,"168,162,27",하남,c_hanam,"168,162,27",성남,d_seongnam,"84,156,26",c_seongnam,경기,k_gyeonggi,"168,39,42",c_suwon,,,,,icheon,populism,castle_holding,,,end,
55,b_55,퇴계원,toegyewon,"43,42,88",의정부,c_uijeongbu,"43,42,88",의정부,d_uijeongbu,"43,42,88",c_uijeongbu,개성,k_gaeseong,"43,42,88",c_gaeseong,,,,,,,none,,,end,
56,b_56,내장,naejang,"42,57,163",정읍,c_jeongeup,"42,57,163",정읍,d_jeongeup,"42,57,163",c_jeongeup,익산,k_iksan,"169,195,257",c_iksan,신복련,e_hec,"255,249,198",c_jeonju,,,church_holding,,,end,
57,b_57,미성,miseong,"85,159,151",군산,c_gunsan,"85,159,151",군산,d_gunsan,"85,159,151",c_gunsan,익산,k_iksan,"169,195,257",c_iksan,신복련,e_hec,"255,249,198",c_jeonju,,,city_holding,,,end,
58,b_58,서일산,w.ilsan,"127,24,14",고양,c_goyang,"127,24,14",고양,d_goyang,"127,24,14",c_goyang,개성,k_gaeseong,"43,42,88",c_gaeseong,,,,,,,church_holding,,,end,
59,b_59,월곳,wolgot,"1,45,145",통진,c_tongjin,"1,45,145",김포,d_gimpo,"43,33,143",c_gimpo,인천,k_incheon,"84,201,161",c_incheon,,,,,,,none,,,end,
60,b_60,오류,oryuwang,"0,180,30",서구,c_seogu,"0,180,30",인천,d_incheon,"84,201,161",c_incheon,인천,k_incheon,"84,201,161",c_incheon,,,,,incheon,presbyterianism,castle_holding,,,end,
61,b_61,계양,gyeyang,"42,183,158",부평,c_bupyeong,"63,126,189",부평,d_bupyeong,"54,101,161",c_bupyeong,인천,k_incheon,"84,201,161",c_incheon,,,,,,,castle_holding,,,end,
62,b_62,부천,bucheon,"84,186,31",부천,c_bucheon,"84,186,31",부평,d_bupyeong,"54,101,161",c_bupyeong,인천,k_incheon,"84,201,161",c_incheon,,,,,incheon,populism,castle_holding,,,end,
63,b_63,부평,bupyeong,"63,126,189",부평,c_bupyeong,"63,126,189",부평,d_bupyeong,"54,101,161",c_bupyeong,인천,k_incheon,"84,201,161",c_incheon,,,,,incheon,populism,castle_holding,,,end,
64,b_64,청라,cheongra,"168,192,32",서구,c_seogu,"0,180,30",인천,d_incheon,"84,201,161",c_incheon,인천,k_incheon,"84,201,161",c_incheon,,,,,,,church_holding,,,end,
65,b_65,미추홀,michuhol,"0,195,160",인천,c_incheon,"84,201,161",인천,d_incheon,"84,201,161",c_incheon,인천,k_incheon,"84,201,161",c_incheon,,,,,incheon,presbyterianism,castle_holding,,,end,
66,b_66,연수,yeonsu,"42,198,33",인천,c_incheon,"84,201,161",인천,d_incheon,"84,201,161",c_incheon,인천,k_incheon,"84,201,161",c_incheon,,,,,incheon,presbyterianism,city_holding,,,end,
67,b_67,구월,guwol,"84,201,161",인천,c_incheon,"84,201,161",인천,d_incheon,"84,201,161",c_incheon,인천,k_incheon,"84,201,161",c_incheon,,,,,incheon,presbyterianism,castle_holding,,,end,
68,b_68,옥야,okya,"169,195,257",익산,c_iksan,"169,195,257",익산,d_iksan,"169,195,257",c_iksan,익산,k_iksan,"169,195,257",c_iksan,신복련,e_hec,"255,249,198",c_jeonju,,,city_holding,,,end,
69,b_69,광명,gwangmyeong,"0,210,35",안양,c_anyang,"0,210,35",안산,d_ansan,"89,95,147",c_ansan,경기,k_gyeonggi,"168,39,42",c_suwon,,,,,,,city_holding,,,end,
70,b_70,안양,anyang,"0,210,35",안양,c_anyang,"0,210,35",안산,d_ansan,"89,95,147",c_ansan,경기,k_gyeonggi,"168,39,42",c_suwon,,,,,suwon,mechanism,castle_holding,,,end,
71,b_71,팔봉,palbong,"169,195,257",익산,c_iksan,"169,195,257",익산,d_iksan,"169,195,257",c_iksan,익산,k_iksan,"169,195,257",c_iksan,신복련,e_hec,"255,249,198",c_jeonju,,,church_holding,,,end,
72,b_72,북일,bukil,"169,195,257",익산,c_iksan,"169,195,257",익산,d_iksan,"169,195,257",c_iksan,익산,k_iksan,"169,195,257",c_iksan,신복련,e_hec,"255,249,198",c_jeonju,,,castle_holding,,,end,
73,b_73,수암,suam,"84,186,31",안산,c_ansan,"84,86,131",안산,d_ansan,"89,95,147",c_ansan,경기,k_gyeonggi,"168,39,42",c_suwon,,,,,,,church_holding,,,end,
74,b_74,상록,sangrok,"84,86,131",안산,c_ansan,"84,86,131",안산,d_ansan,"89,95,147",c_ansan,경기,k_gyeonggi,"168,39,42",c_suwon,,,,,suwon,mechanism,castle_holding,,,end,
75,b_75,군포,gunpo,"168,39,42",안양,c_anyang,"0,210,35",안산,d_ansan,"89,95,147",c_ansan,경기,k_gyeonggi,"168,39,42",c_suwon,,,,,,,church_holding,,,end,
76,b_76,의왕,uiwang,"168,39,42",과천,c_gwacheon,"23,245,112",안산,d_ansan,"89,95,147",c_ansan,경기,k_gyeonggi,"168,39,42",c_suwon,,,,,,,city_holding,,,end,
77,b_77,양사,yangsa,"84,18,166",양사,c_yangsa,"84,18,166",강화도,d_ganghwado,"170,141,187",c_ganghwa,인천,k_incheon,"84,201,161",c_incheon,,,,,incheon,anglicanism,castle_holding,,,end,
78,b_78,석모,seokmo,"126,21,39",석모,c_seokmo,"126,21,39",강화도,d_ganghwado,"170,141,187",c_ganghwa,인천,k_incheon,"84,201,161",c_incheon,,,,,incheon,anglicanism,castle_holding,,,end,
79,b_79,교동,gyodong,"168,24,167",교동,c_gyodong,"168,24,167",강화도,d_ganghwado,"170,141,187",c_ganghwa,인천,k_incheon,"84,201,161",c_incheon,,,,,incheon,anglicanism,castle_holding,,,end,
80,b_80,영종도,yeongjongdo,"0,27,40",영종도,c_yeongjongdo,"0,27,40",영종도,d_yeongjongdo,"0,27,40",c_yeongjongdo,인천,k_incheon,"84,201,161",c_incheon,,,,,incheon,presbyterianism,castle_holding,,,end,
81,b_81,조리,jori,"169,63,27",파주,c_paju,"169,63,27",고양,d_goyang,"127,24,14",c_goyang,개성,k_gaeseong,"43,42,88",c_gaeseong,,,,,,,none,,,end,
82,b_82,동두천,dongducheon,"84,33,41",동두천,c_dongducheon,"84,33,41",포천,d_pocheon,"127,15,19",c_pocheon,개성,k_gaeseong,"43,42,88",c_gaeseong,,,,,gapyeong,doom_completion,castle_holding,,,end,
83,b_83,가산,gasan,"1,21,20",소흘,c_soheul,"1,21,20",포천,d_pocheon,"127,15,19",c_pocheon,개성,k_gaeseong,"43,42,88",c_gaeseong,,,,,,,church_holding,,,end,
84,b_84,수원,suwon,"168,39,42",수원,c_suwon,"168,39,42",수원,d_suwon,"168,39,42",c_suwon,경기,k_gyeonggi,"168,39,42",c_suwon,,,,,suwon,mechanism,castle_holding,,,end,
85,b_85,수지,suji,"43,90,188",기흥,c_giheung,"43,90,188",용인,d_yongin,"169,84,187",c_yongin,경기,k_gyeonggi,"168,39,42",c_suwon,,,,,,,city_holding,,,end,
86,b_86,,,,,,,,,,,,,,,,,,,,,,,,end,
87,b_87,,,,,,,,,,,,,,,,,,,,,,,,end,
88,b_88,,,,,,,,,,,,,,,,,,,,,,,,end,
89,b_89,설성,seolseong,"43,180,203",장호원,c_janghowon,"43,180,203",용인,d_yongin,"169,84,187",c_yongin,경기,k_gyeonggi,"168,39,42",c_suwon,,,,,,,none,,,end,
90,b_90,,,,,,,,,,,,,,,,,,,,,,,,end,
91,b_91,,,,,,,,,,,,,,,,,,,,,,,,end,
92,b_92,,,,,,,,,,,,,,,,,,,,,,,,end,
93,b_93,,,,,,,,,,,,,,,,,,,,,,,,end,
94,b_94,,,,,,,,,,,,,,,,,,,,,,,,end,
95,b_95,오성,oseong,"85,174,131",안중,c_anjung,"85,174,131",평택,d_pyeongtaek,"69,195,7",c_pyeongtaek,경기,k_gyeonggi,"168,39,42",c_suwon,,,,,,,none,,,end,
96,b_96,,,,,,,,,,,,,,,,,,,,,,,,end,
97,b_97,탕정,tangjeong,"43,96,218",온양,c_onyang,"43,96,218",온양,d_onyang,"43,96,218",c_onyang,공홍,k_gonghong,"44,168,198",c_gongju,,,,,,,church_holding,,,end,
98,b_98,광덕,gwangdeok,"127,132,224",천안,c_cheonan,"127,132,224",천안,d_cheonan,"127,132,224",c_cheonan,공홍,k_gonghong,"44,168,198",c_gongju,,,,,,,none,,,end,
99,b_99,소정,sojeong,"128,111,224",조치원,c_jochiwon,"128,111,224",공주,d_gongju,"44,168,198",c_gongju,공홍,k_gonghong,"44,168,198",c_gongju,,,,,,,none,,,end,
100,b_100,유구,yugu,"0,87,50",유구,c_yugu,"0,87,50",공주,d_gongju,"44,168,198",c_gongju,공홍,k_gonghong,"44,168,198",c_gongju,,,,,buyeo,imperial_church,castle_holding,,,end,
101,b_101,봉산,bongsan,"44,0,78",삽교,c_sapgyo,"44,0,78",홍주,d_hongju,"2,150,195",c_hongju,공홍,k_gonghong,"44,168,198",c_gongju,,,,,,,none,,,end,
102,b_102,석문,seokmun,"86,63,216",당진,c_dangjin,"86,63,216",서산,d_seosan,"44,15,208",c_seosan,공홍,k_gonghong,"44,168,198",c_gongju,,,,,,,none,,,end,
103,b_103,포지,poji,"126,36,84",태안,c_taean,"126,36,84",서산,d_seosan,"44,15,208",c_seosan,공홍,k_gonghong,"44,168,198",c_gongju,,,,,,,none,,,end,
104,b_104,금마,geumma,"2,150,195",홍주,c_hongju,"2,150,195",홍주,d_hongju,"2,150,195",c_hongju,공홍,k_gonghong,"44,168,198",c_gongju,,,,,,,none,,,end,
105,b_105,안면,anmyeon,"0,102,80",안면,c_anmyeon,"0,102,80",서산,d_seosan,"44,15,208",c_seosan,공홍,k_gonghong,"44,168,198",c_gongju,,,,,seosan,mechanism,castle_holding,,,end,
106,b_106,울릉,ulleung,"42,105,53",울릉,c_ulleung,"42,105,53",울릉,d_ulleung,"42,105,53",c_ulleung,울릉,k_ulleung,"42,105,53",c_ulleung,,,,,ulleung,koreanism,castle_holding,,,end,
107,b_107,화성,hwaseong,"170,117,62",청양,c_cheongyang,"170,117,62",보령,d_boryeong,"169,21,7",c_boryeong,공홍,k_gonghong,"44,168,198",c_gongju,,,,,,,none,,,end,
108,b_108,주포,jupo,"169,21,7",보령,c_boryeong,"169,21,7",보령,d_boryeong,"169,21,7",c_boryeong,공홍,k_gonghong,"44,168,198",c_gongju,,,,,,,church_holding,,,end,
109,b_109,초촌,chochon,"86,198,11",부여,c_buyeo,"86,198,11",부여,d_buyeo,"86,198,11",c_buyeo,공홍,k_gonghong,"44,168,198",c_gongju,,,,,,,city_holding,,,end,
110,b_110,신대,sindae,"170,144,2",청원,c_cheongwon,"170,144,2",청주,d_cheongju,"85,39,81",c_cheongju,충청,k_chungcheong,"85,39,81",c_cheongju,,,,,,,none,,,end,
111,b_111,대덕,daedeok,"42,120,183",대덕,c_daedeok,"42,120,183",대전,d_daejeon,"128,33,19",c_daejeon,대전,k_daejeon,"128,33,19",c_daejeon,,,,,daejeon,mechanism,castle_holding,,,end,
112,b_112,속리,sokri,"84,123,56",속리,c_sokri,"84,123,56",보은,d_boeun,"170,66,152",c_boeun,충청,k_chungcheong,"85,39,81",c_cheongju,,,,,cheongju,authoritarianism,castle_holding,,,end,
113,b_113,유천,yucheon,"1,111,185",용문,c_yongmun,"1,111,185",문경,d_mungyeong,"127,27,79",c_mungyeong,상주,k_sangju,"169,18,42",c_sangju,,,,,,,none,,,end,
114,b_114,망성,mangseong,"85,204,31",여산,c_yeosan,"85,204,31",익산,d_iksan,"169,195,257",c_iksan,익산,k_iksan,"169,195,257",c_iksan,신복련,e_hec,"255,249,198",c_jeonju,,,city_holding,,,end,
115,b_115,계룡,gyeryong,"0,132,185",계룡,c_g_gyeryong,"0,132,185",논산,d_nonsan,"42,135,58",c_nonsan,공홍,k_gonghong,"44,168,198",c_gongju,,,,,daejeon,imperial_church,castle_holding,,,end,
116,b_116,논산,nonsan,"42,135,58",논산,c_nonsan,"42,135,58",논산,d_nonsan,"42,135,58",c_nonsan,공홍,k_gonghong,"44,168,198",c_gongju,,,,,gunsan,imperial_church,castle_holding,,,end,
117,b_117,제원,jewon,"43,75,208",금산,c_geumsan,"43,75,208",진산,d_jinsan,"106,64,75",c_geumsan,대전,k_daejeon,"128,33,19",c_daejeon,,,,,,,none,,,end,
118,b_118,경천,gyeongcheon,"1,45,40",고산,c_gosan,"1,45,40",전주,d_jeonju,"43,156,23",c_jeonju,전주,k_jeonju,"43,156,23",c_jeonju,신복련,e_hec,"255,249,198",c_jeonju,,,church_holding,,,end,
119,b_119,덕진,deokjin,"43,156,23",전주,c_jeonju,"43,156,23",전주,d_jeonju,"43,156,23",c_jeonju,전주,k_jeonju,"43,156,23",c_jeonju,신복련,e_hec,"255,249,198",c_jeonju,,,city_holding,,,end,
120,b_120,백구,baekgu,"0,147,60",백구,c_baekgu,"0,147,60",김제,d_gimje,"0,21,65",c_gimje,익산,k_iksan,"169,195,257",c_iksan,신복련,e_hec,"255,249,198",c_jeonju,jeonju,holyist,castle_holding,,,end,
121,b_121,줄포,julpo,"84,87,76",보안,c_boan,"23,100,117",부안,d_buan,"20,53,167",c_buan,익산,k_iksan,"169,195,257",c_iksan,신복련,e_hec,"255,249,198",c_jeonju,,,city_holding,,,end,
122,b_122,동향,donghyang,"169,72,172",주천,c_jucheon,"169,72,172",진안,d_jinan,"127,69,44",c_jinan,전주,k_jeonju,"43,156,23",c_jeonju,신복련,e_hec,"255,249,198",c_jeonju,,,none,,,end,
123,b_123,산내,sannae,"168,81,167",칠보,c_chilbo,"245,52,231",정읍,d_jeongeup,"42,57,163",c_jeongeup,익산,k_iksan,"169,195,257",c_iksan,신복련,e_hec,"255,249,198",c_jeonju,,,church_holding,,,end,
124,b_124,지사,jisa,"0,114,45",임실,c_imsil,"0,114,45",임실,d_imsil,"0,114,45",c_imsil,전주,k_jeonju,"43,156,23",c_jeonju,신복련,e_hec,"255,249,198",c_jeonju,,,none,,,end,
125,b_125,계남,gyenam,"42,42,33",장계,c_janggye,"42,42,33",진안,d_jinan,"127,69,44",c_jinan,전주,k_jeonju,"43,156,23",c_jeonju,신복련,e_hec,"255,249,198",c_jeonju,,,church_holding,,,end,
126,b_126,성내,seongnae,"42,174,13",흥덕,c_heungdeok_gochang,"126,180,14",고창,d_gochang,"42,174,13",c_gochang,익산,k_iksan,"169,195,257",c_iksan,신복련,e_hec,"255,249,198",c_jeonju,,,none,,,end,
127,b_127,홍농,hongnong,"84,168,191",홍농,c_hongnong,"84,168,191",영광,d_yeonggwang,"126,75,224",c_yeonggwang,무안,k_muan,"84,150,201",c_muan,,,,,muan,won_buddhism,castle_holding,,,end,
128,b_128,남면,nammyeon,"0,141,135",창평,c_changpyeong,"0,141,135",담양,d_damyang,"0,126,5",c_damyang,광주,k_gwangju,"86,120,161",c_gwangju,,,,,,,none,,,end,
129,b_129,운암,unam,"168,174,192",광주,c_gwangju,"86,120,161",광주,d_gwangju,"86,120,161",c_gwangju,광주,k_gwangju,"86,120,161",c_gwangju,,,,,,,city_holding,,,end,
130,b_130,효덕,hyodeok,"0,177,65",광주,c_gwangju,"86,120,161",광주,d_gwangju,"86,120,161",c_gwangju,광주,k_gwangju,"86,120,161",c_gwangju,,,,,,,church_holding,,,end,
131,b_131,빛가람,bitgaram,"42,180,193",빛가람,c_bitgaram,"42,180,193",나주,d_naju,"2,129,35",c_naju,무안,k_muan,"84,150,201",c_muan,,,,,muan,presbyterianism,castle_holding,,,end,
132,b_132,,,,,,,,,,,,,,,,,,,,,,,,end,
133,b_133,망운,mangun,"84,150,201",무안,c_muan,"84,150,201",무안,d_muan,"84,150,201",c_muan,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
134,b_134,시종,sijong,"168,189,67",시종,c_sijong,"168,189,67",영암,d_yeongam,"0,24,180",c_yeongam,무안,k_muan,"84,150,201",c_muan,,,,,muan,presbyterianism,castle_holding,,,end,
135,b_135,송지,songji,"0,192,105",송지,c_songji,"0,192,105",해남,d_haenam,"126,171,169",c_haenam,무안,k_muan,"84,150,201",c_muan,,,,,muan,presbyterianism,castle_holding,,,end,
136,b_136,신전,sinjeon,"42,195,173",강진,c_gangjin,"42,195,173",강진,d_gangjin,"42,195,183",c_gangjin,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,none,,,end,
137,b_137,장평,jangpyeong,"84,198,196",장평,c_jangpyeong,"84,198,196",장흥,d_jangheung,"0,54,185",c_jangheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,namhae,presbyterianism,castle_holding,,,end,
138,b_138,무동,mudong,"0,141,135",창평,c_changpyeong,"0,141,135",담양,d_damyang,"0,126,5",c_damyang,광주,k_gwangju,"86,120,161",c_gwangju,,,,,,,none,,,end,
139,b_139,회천,hoecheon,"0,129,70",보성,c_boseong,"0,129,70",보성,d_boseong,"0,129,70",c_boseong,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,city_holding,,,end,
140,b_140,황천,hwangcheon,"84,9,21",승주,c_seungju,"84,9,21",순천,d_suncheon,"0,201,145",c_suncheon,여수,k_yeosu,"84,192,16",c_yeosu,,,,,,,none,,,end,
141,b_141,고달,godal,"126,42,154",곡성,c_gokseong,"126,42,154",곡성,d_gokseong,"126,42,154",c_gokseong,여수,k_yeosu,"84,192,16",c_yeosu,,,,,,,none,,,end,
142,b_142,아영,ayeong,"0,138,170",운봉,c_unbong,"0,138,170",남원,d_namwon,"168,120,167",c_namwon,전주,k_jeonju,"43,156,23",c_jeonju,신복련,e_hec,"255,249,198",c_jeonju,,,church_holding,,,end,
143,b_143,간전,ganjeon,"168,165,47",토지,c_toji,"168,165,47",광양,d_gwangyang,"42,51,28",c_gwangyang,여수,k_yeosu,"84,192,16",c_yeosu,,,,,,,none,,,end,
144,b_144,진월,jinwol,"168,60,157",옥곡,c_okgok,"168,60,157",광양,d_gwangyang,"42,51,28",c_gwangyang,여수,k_yeosu,"84,192,16",c_yeosu,,,,,,,none,,,end,
145,b_145,진교,jingyo,"0,198,180",금양,c_geumyang,"0,198,180",산청,d_sancheong,"126,66,129",c_sancheong,가야,k_gaya,"126,171,19",c_haman,,,,,,,none,,,end,
146,b_146,증평,jeungpyeong,"42,12,73",증평,c_jeungpyeong,"42,12,73",충서,d_chungseo,"42,12,73",c_jeungpyeong,충청,k_chungcheong,"85,39,81",c_cheongju,,,,,chungju,authoritarianism,castle_holding,,,end,
147,b_147,불정,buljeong,"127,72,214",연풍,c_yeonpung,"127,72,214",충서,d_chungseo,"42,12,73",c_jeungpyeong,충청,k_chungcheong,"85,39,81",c_cheongju,,,,,,,none,,,end,
148,b_148,삼천포,samcheonpo,"126,18,74",삼천포,c_samcheonpo,"126,18,74",사천,d_sacheon,"168,72,67",c_sacheon,진주,k_jinju,"126,96,134",c_jinju,,,,,jinju,lutheran,castle_holding,,,end,
149,b_149,휴천,hyucheon,"0,24,30",함양,c_hamyang,"0,24,30",거창,d_geochang,"168,57,192",c_geochang,가야,k_gaya,"126,171,19",c_haman,,,,,,,none,,,end,
150,b_150,유림,yurim,"0,24,30",함양,c_hamyang,"0,24,30",거창,d_geochang,"168,57,192",c_geochang,가야,k_gaya,"126,171,19",c_haman,,,,,,,none,,,end,
