프로빈스 번호,인게임 코드,한국어 명칭,영문 명칭,RGB,백작령,백작령코드명,백작령 색상,공작령,공작령코드명,공작령 색상,왕국령,왕국령코드명,왕국령 색상,제국령,제국령코드명,제국령 색상,문화,종교,홀딩,지형,특이사항,
38,b_38,광진,gwangjin,"170,65,90",광진,,,동대문,,,서울,,,,,,,,,,,
39,b_39,구리,guri,"43,27,213",남양주,,,의정부,,,개성,,,,,,,,,,,
40,b_40,강동,gangdong,"170,65,90",강동,,,강남,,,서울,,,,,,,,,,,
41,b_41,송파,songpa,"170,65,90",송파,,,강남,,,서울,,,,,,,,,,,
42,b_42,강남,gangnam,"170,65,90",강남,,,강남,,,서울,,,,,,,,,,,
43,b_43,서초,seocho,"170,65,90",서초,,,강남,,,서울,,,,,,,,,,,
44,b_44,동작,dongjak,"170,65,90",동작,,,영등포,,,서울,,,,,,,,,,,
45,b_45,영등포,yeongdeungpo,"170,65,90",영등포,,,영등포,,,서울,,,,,,,,,,,
46,b_46,강서,gangseo,"170,65,90",강서,,,영등포,,,서울,,,,,,,,,,,
47,b_47,양천,yangcheon,"170,65,90",양천,,,영등포,,,서울,,,,,,,,,,,
48,b_48,구로,guro,"170,65,90",구로,,,영등포,,,서울,,,,,,,,,,,
49,b_49,금천,geumcheon,"170,65,90",금천,,,영등포,,,서울,,,,,,,,,,,
50,b_50,관악,gwanak,"170,65,90",관악,,,영등포,,,서울,,,,,,,,,,,
51,b_51,과천,gwacheon,"0,210,35",과천,,,안산,,,경기,,,,,,,,,,,
52,b_52,성남,seongnam,"84,156,26",성남,,,성남,,,경기,,,,,,,,,,,
53,b_53,도척,docheok,"85, 108, 191",광주,,,성남,,,경기,,,,,,,,,,,
54,b_54,하남,hanam,"168,162,27",하남,,,성남,,,경기,,,,,,,,,,,
55,b_55,퇴계원,toegyewon,"43,42,88",의정부,,,의정부,,,개성,,,,,,,,,,,
56,b_56,내장,naejang,"42,57,163",정읍,,,정읍,,,익산,,,신복련,,,,,,,,
57,b_57,미성,miseong,"85, 159, 151",군산,,,군산,,,전주,,,신복련,,,,,,,,
58,b_58,서일산,w.ilsan,"127,24,14",고양,,,고양,,,개성,,,,,,,,,,,
59,b_59,월곳,wolgot,"1,45,145",통진,,,김포,,,인천,,,,,,,,,,,
60,b_60,오류,oryuwang,"0,180,30",서구,,,인천,,,인천,,,,,,,,,,c-d불일치,
61,b_61,계양,gyeyang,"42, 183, 158",부평,,,부평,,,인천,,,,,,,,,,,
62,b_62,부천,bucheon,"84,186,31",부천,,,부평,,,인천,,,,,,,,,,,
63,b_63,부평,bupyeong,"63, 126, 189",부평,,,부평,,,인천,,,,,,,,,,,
64,b_64,청라,cheongra,"168,192,32",서구,,,인천,,,인천,,,,,,,,,,,
65,b_65,미추홀,michuhol,"0, 195, 160",인천,,,인천,,,인천,,,,,,,,,,,
66,b_66,연수,yeonsu,"42,198,33",인천,,,인천,,,인천,,,,,,,,,,,
67,b_67,구월,guwol,"84, 201, 161",인천,,,인천,,,인천,,,,,,,,,,,
68,b_68,옥야,okya,"169, 195, 257",익산,,,익산,,,익산,,,신복련,,,,,,,,
69,b_69,광명,gwangmyeong,"0,210,35",안양,,,안산,,,경기,,,,,,,,,,,
70,b_70,안양,anyang,"0,210,35",안양,,,안산,,,경기,,,,,,,,,,,
71,b_71,팔봉,palbong,"169, 195, 257",익산,,,익산,,,익산,,,신복련,,,,,,,,
72,b_72,북일,bukil,"169, 195, 257",익산,,,익산,,,익산,,,신복련,,,,,,,,
73,b_73,수암,suam,"84,186,31",안산,,,안산,,,경기,,,,,,,,,,,
74,b_74,상록,sangrok,"84,86,131",안산,,,안산,,,경기,,,,,,,,,,,
75,b_75,군포,gunpo,"168,39,42",안양,,,안산,,,경기,,,,,,,,,,,
76,b_76,의왕,uiwang,"168,39,42",과천,,,안산,,,경기,,,,,,,,,,,
77,b_77,양사,yangsa,"84,18,166",양사,,,강화도,,,인천,,,,,,,,,,,
78,b_78,석모,seokmo,"126,21,39",석모,,,강화도,,,인천,,,,,,,,,,,
79,b_79,교동,gyodong,"168,24,167",교동,,,강화도,,,인천,,,,,,,,,,,
80,b_80,영종도,yeongjongdo,"0,27,40",영종도,,,영종도,,,인천,,,,,,,,,,,
81,b_81,조리,jori,"169,63,27",파주,,,고양,,,개성,,,,,,,,,,,
82,b_82,동두천,dongducheon,"84,33,41",동두천,,,포천,,,개성,,,,,,,,,,,
83,b_83,가산,gasan,"1,21,20",소흘,,,포천,,,개성,,,,,,,,,,,
84,b_84,수원,suwon,"168,39,42",수원,,,수원,,,경기,,,,,,,,,,,
85,b_85,수지,suji,"43,90,188",기흥,,,용인,,,경기,,,,,,,,,,,
86,b_86,,,,,,,,,,,,,,,,,,,,통행불가산,
87,b_87,,,,,,,,,,,,,,,,,,,,공란,
88,b_88,,,,,,,,,,,,,,,,,,,,공란,
89,b_89,설성,seolseong,"43, 180, 203",장호원,,,용인,,,경기,,,,,,,,,,,
90,b_90,,,,,,,,,,,,,,,,,,,,공란,
91,b_91,,,,,,,,,,,,,,,,,,,,공란,
92,b_92,,,,,,,,,,,,,,,,,,,,공란,
93,b_93,,,,,,,,,,,,,,,,,,,,공란,
94,b_94,,,,,,,,,,,,,,,,,,,,공란,
95,b_95,오성,oseong,"85, 174, 131",안중,,,평택,,,경기,,,,,,,,,,,
96,b_96,,,,,,,,,,,,,,,,,,,,공란,
97,b_97,탕정,tangjeong,"43,96,218",온양,,,온양,,,공홍,,,,,,,,,,,
98,b_98,광덕,gwangdeok,"127, 132, 224",천안,,,천안,,,공홍,,,,,,,,,,,
99,b_99,소정,sojeong,"128, 111, 224",조치원,,,공주,,,공홍,,,,,,,,,,,
100,b_100,유구,yugu,"0,87,50",유구,,,공주,,,공홍,,,,,,,,,,,
101,b_101,봉산,bongsan,"44,0,78",삽교,,,홍주,,,공홍,,,,,,,,,,,
102,b_102,석문,seokmun,"86,63,216",당진,,,서산,,,공홍,,,,,,,,,,,
103,b_103,포지,poji,"126,36,84",태안,,,서산,,,공홍,,,,,,,,,,,
104,b_104,금마,geumma,"2, 150, 195",홍주,,,홍주,,,공홍,,,,,,,,,,,
105,b_105,안면,anmyeon,"0,102,80",안면,,,서산,,,공홍,,,,,,,,,,,
106,b_106,울릉,ulleung,"42,105,53",울릉,,,울릉,,,울릉,,,,,,,,,,,
107,b_107,화성,hwaseong,"170,117,62",청양,,,보령,,,공홍,,,,,,,,,,,
108,b_108,주포,jupo,"169,21,7",보령,,,보령,,,공홍,,,,,,,,,,,
109,b_109,초촌,chochon,"86,198,11",부여,,,부여,,,공홍,,,,,,,,,,,
110,b_110,신대,sindae,"170,144,2",청원,,,청주,,,충청,,,,,,,,,,,
111,b_111,대덕,daedeok,"42, 120, 183",대전,,,대전,,,대전,,,,,,,,,,,
112,b_112,속리,sokri,"84,123,56",속리,,,보은,,,충청,,,,,,,,,,,
113,b_113,유천,yucheon,"1, 111, 185",용문,,,문경,,,상주,,,,,,,,,,,
114,b_114,망성,mangseong,"85,204,31",여산,,,익산,,,익산,,,신복련,,,,,,,,
115,b_115,계룡,gyeryong,"0, 132, 185",계룡,,,논산,,,공홍,,,,,,,,,,,
116,b_116,논산,nonsan,"42,135,58",논산,,,논산,,,공홍,,,,,,,,,,,
117,b_117,제원,jewon,"43,75,208",금산,,,진산,,,대전,,,,,,,,,,,
118,b_118,경천,gyeongcheon,"1,45,40",고산,,,전주,,,전주,,,신복련,,,,,,,,
119,b_119,덕진,deokjin,"43,156,23",전주,,,전주,,,전주,,,신복련,,,,,,,,
120,b_120,백구,baekgu,"0,147,60",백구,,,김제,,,익산,,,신복련,,,,,,,,
121,b_121,줄포,julpo,"84,87,76",보안,,,부안,,,익산,,,신복련,,,,,,,,
122,b_122,동향,donghyang,"169,72,172",주천,,,진안,,,전주,,,신복련,,,,,,,,
123,b_123,산내,sannae,"168,81,167",칠보,,,정읍,,,익산,,,신복련,,,,,,,,
124,b_124,지사,jisa,"0,114,45",임실,,,임실,,,전주,,,신복련,,,,,,,,
125,b_125,계남,gyenam,"42,42,33",장계,,,진안,,,전주,,,신복련,,,,,,,,
126,b_126,성내,seongnae,"42,174,13",흥덕,,,고창,,,익산,,,신복련,,,,,,,,
127,b_127,홍농,hongnong,"84, 168, 191",홍농,,,영광,,,무안,,,,,,,,,,,
128,b_128,남면,nammyeon,"0, 141, 135",창평,,,담양,,,광주,,,,,,,,,,,
129,b_129,운암,unam,"168, 174, 192",광주,,,광주,,,광주,,,,,,,,,,,
130,b_130,효덕,hyodeok,"0,177,65",광주,,,광주,,,광주,,,,,,,,,,,
131,b_131,빛가람,bitgaram,"42, 180, 193",빛가람,,,나주,,,무안,,,,,,,,,,,
132,b_132,,,,,,,,,,,,,,,,,,,,공란,
133,b_133,망운,mangun,"83, 150, 201",무안,,,무안,,,무안,,,,,,,,,,,
134,b_134,시종,sijong,"168,189,67",시종,,,영암,,,무안,,,,,,,,,,,
135,b_135,송지,songji,"0, 192, 105",송지,,,해남,,,무안,,,,,,,,,,,
136,b_136,신전,sinjeon,"42, 195, 173",강진,,,강진,,,고흥,,,,,,,,,,,
137,b_137,장평,jangpyeong,"84, 198, 196",장평,,,장흥,,,고흥,,,,,,,,,,,
138,b_138,무동,mudong,"0, 141, 135",창평,,,담양,,,광주,,,,,,,,,,,
139,b_139,회천,hoecheon,"0, 129, 70",보성,,,보성,,,고흥,,,,,,,,,,,
140,b_140,황천,hwangcheon,"84,9,21",승주,,,순천,,,여수,,,,,,,,,,,
141,b_141,고달,godal,"126, 42, 154",곡성,,,곡성,,,여수,,,,,,,,,,,
142,b_142,아영,ayeong,"0, 138, 170",운봉,,,남원,,,전주,,,신복련,,,,,,,,
143,b_143,간전,ganjeon,"168,165,47",토지,,,광양,,,여수,,,,,,,,,,,
144,b_144,진월,jinwol,"168,60,157",오곡,,,광양,,,여수,,,,,,,,,,,
145,b_145,진교,jingyo,"0, 198, 180",금양,,,산청,,,가야,,,,,,,,,,,
146,b_146,증평,jeungpyeong,"42,12,73",증평,,,청서,,,충청,,,,,,,,,,,
147,b_147,불정,buljeong,"127,72,214",연풍,,,청서,,,충청,,,,,,,,,,,
148,b_148,삼천포,samcheonpo,"126,18,74",삼천포,,,사천,,,진주,,,,,,,,,,,
149,b_149,휴천,hyucheon,"0,24,30",함양,,,거창,,,가야,,,,,,,,,,,
150,b_150,유림,yurim,"0,24,30",함양,,,거창,,,가야,,,,,,,,,,,
151,b_151,무풍,mupung,"127,99,49",무주,,,진안,,,전주,,,신복련,,,,,,,,
152,b_152,추풍령,chupungryeong,"127,127,54",황간,,,옥천,,,대전,,,,,,,,,,,
153,b_153,이안,ian,"43,39,173",함창,,,상주,,,상주,,,,,,,,,,,
154,b_154,동로,dongro,"127,27,79",문경,,,문경,,,상주,,,,,,,,,,,
155,b_155,구절,gujeol,"168, 117, 202",고성,,,사천,,,진주,,,,,,,,,,,
156,b_156,이반성,ibanseong,"168, 114, 137",진성,,,진주,,,진주,,,,,,,,,,,
157,b_157,차황,chahwang,"126,66,129",산청,,,산청,,,가야,,,,,,,,,,,
158,b_158,신원,sinwon,"84,210,61",가조,,,거창,,,가야,,,,,,,,,,,
159,b_159,,,,,,,,,,,,,,,,,,,,공란,
160,b_160,도개,dogae,"127,36,74",서산,,,김천,,,상주,,,,,,,,,,,
161,b_161,개포,gaepo,"43,36,208",용궁,,,문경,,,상주,,,,,,,,,,,
162,b_162,평은,pyeongeun,"127,90,54",영주,,,영주,,,안동,,,,,,,,,,,
163,b_163,예안,yean,"170,55,90",예안,,,안동,,,안동,,,,,,,,,,,
164,b_164,수비,subi,"85, 183, 226",영양,,,청송,,,안동,,,,,,,,,,,
165,b_165,의성,uiseong,"0,69,210",의성,,,의성,,,안동,,,,,,,,,,,
166,b_166,고로,goro,"85,63,206",의흥,,,군위,,,안동,,,,,,,,,,,
167,b_167,흥덕,heungdeok,"84,75,211",흥덕,,,청주,,,충청,,,,,,,,,,,
168,b_168,올항,wolhang,"85,201,66",성주,,,성주,,,대구,,,,,,,,,,,
169,b_169,해인,haein,"168, 138, 212",합천,,,합천,,,가야,,,,,,,,,,,
170,b_170,다산,dasan,"43,96,13",성산,,,성주,,,대구,,,,,,,,,,,
171,b_171,낙서,nakseo,"168,159,17",부림,,,합천,,,가야,,,,,,,,,,,
172,b_172,칠북,chilbuk,"84, 183, 21",칠원,,,함안,,,가야,,,,,,,,,,,
173,b_173,회언,hoewon,"126,93,214",회원,,,창원,,,창원,,,,,,,,,,,
174,b_174,대구,daegu,"168,96,87",대구,,,대구,,,대구,,,,,,,,,,,
175,b_175,가창,gachang,"1, 93, 140",옥포,,,대구,,,대구,,,,,,,,,,,
176,b_176,성산,seongsan,"126, 3, 154",창녕,,,밀양,,,경주,,,,,,,,,,,
177,b_177,대동,daedong,"84, 105, 216",대동,,,김해,,,부산,,,,,,,,,,,
178,b_178,장안,jangan,"126,21,94",기장,,,부산,,,부산,,,,,,,,,,,
179,b_179,웅상,ungsang,"168, 111, 217",웅산,,,양산,,,경주,,,,,,,,,,,
180,b_180,산내,sannae,"127,79,9",단장,,,밀양,,,경주,,,,,,,,,,,
181,b_181,방어진,bangeojin,"168,183,92",울산,,,울산,,,포항,,,,,,,,,,,
182,b_182,운문,unmun,"0,207,25",청도,,,경산,,,경주,,,,,,,,,,,
183,b_183,감포,gampo,"126, 123, 219",감포,,,포항,,,포항,,,,,,,,,,,
184,b_184,신녕,sinnyeong,"0,66,200",청통,,,영천,,,경주,,,,,,,,,,,
185,b_185,,,,,,,,,,,,,,,,,,,,공란,
186,b_186,,,,,,,,,,,,,,,,,,,,공란,
187,b_187,,,,,,,,,,,,,,,,,,,,공란,
188,b_188,,,,,,,,,,,,,,,,,,,,공란,
189,b_189,,,,,,,,,,,,,,,,,,,,공란,
190,b_190,호미곶,homigoj,"42,162,53",구룡포,,,포항,,,포항,,,,,,,,,,,
191,b_191,진보,jinbo,"1, 147, 220",청송,,,청송,,,안동,,,,,,,,,,,
192,b_192,병곡,byeonggok,"85,168,96",영해,,,울진,,,포항,,,,,,,,,,,
193,b_193,,,,,,,,,,,,,,,,,,,,공란,
194,b_194,지도,jido,"168,156,97",지도,,,신안,,,신안,,,,,,,,,,,
195,b_195,임자,imja,"168,158,97",지도,,,신안,,,신안,,,,,,,,,,,
196,b_196,사옥,saok,"168,158,97",지도,,,신안,,,신안,,,,,,,,,,,
197,b_197,중도,jungdo,"168,158,97",지도,,,신안,,,신안,,,,,,,,,,,
198,b_198,운남,unnam,"84, 150, 201",무안,,,무안,,,무안,,,,,,,,,,,
199,b_199,신안,sinan,"168, 171, 227",신안,,,신안,,,신안,,,,,,,,,,,
200,b_200,재운,jaeun,"168, 171, 227",신안,,,신안,,,신안,,,,,,,,,,,
201,b_201,,,,,,,,,,,,,,,,,,,,공란,
202,b_202,,,,,,,,,,,,,,,,,,,,공란,
203,b_203,,,,,,,,,,,,,,,,,,,,공란,
204,b_204,,,,,,,,,,,,,,,,,,,,공란,
205,b_205,,,,,,,,,,,,,,,,,,,,공란,
206,b_206,암태,amtae,"168, 171, 227",신안,,,신안,,,신안,,,,,,,,,,,
207,b_207,팔금,palgeum,"168, 171, 227",신안,,,신안,,,신안,,,,,,,,,,,
208,b_208,안좌,anjwa,"168, 171, 227",신안,,,신안,,,신안,,,,,,,,,,,
209,b_209,비금,bigeum,"168, 201, 132",비금,,,신안,,,신안,,,,,,,,,,,
210,b_210,도초,docho,"168, 201, 132",비금,,,신안,,,신안,,,,,,,,,,,
211,b_211,하의,haui,"42, 207, 133",하의,,,신안,,,신안,,,,,,,,,,,
212,b_212,신의,sinui,"42, 207, 133",하의,,,신안,,,신안,,,,,,,,,,,
213,b_213,장산,jangsan,"42, 207, 133",하의,,,신안,,,신안,,,,,,,,,,,
214,b_214,군내,gunnae,"84, 138, 36",진도,,,진도,,,신안,,,,,,,,,,,
215,b_215,조도,jodo,"84, 138, 36",진도,,,진도,,,신안,,,,,,,,,,,
216,b_216,복일,bogil,"84,12,136",노화,,,완도,,,고흥,,,,,,,,,,,
217,b_217,노화,nohwa,"84, 12, 136",노화,,,완도,,,고흥,,,,,,,,,,,
218,b_218,소안,soan,"84, 12, 136",노화,,,완도,,,고흥,,,,,,,,,,,
219,b_219,군외,gunoe,"0, 147, 165",완도,,,완도,,,고흥,,,,,,,,,,,
220,b_220,고금,gogeum,"0, 21, 10",고금,,,완도,,,고흥,,,,,,,,,,,
221,b_221,약산,yaksan,"0, 21, 10",고금,,,완도,,,고흥,,,,,,,,,,,
222,b_222,산지,sanji,"0, 21, 10",고금,,,완도,,,고흥,,,,,,,,,,,
223,b_223,청산,cheongsan,"0, 147, 165",완도,,,완도,,,고흥,,,,,,,,,,,
224,b_224,금호,geumho,"42,51,28",광양,,,광양,,,여수,,,,,,,,,,,
225,b_225,미조,mijo,"0, 15, 185",물건,,,통영,,,창원,,,,,,,,,,,
226,b_226,창선,changseon,"42, 39, 13",창선,,,통영,,,창원,,,,,,,,,,,
227,b_227,용남,yongnam,"42, 123, 203",광도,,,통영,,,창원,,,,,,,,,,,
228,b_228,사량,saryang,"42, 69, 18",통영,,,통영,,,창원,,,,,,,,,,,
229,b_229,한산,hansan,"42, 69, 18",통영,,,통영,,,창원,,,,,,,,,,,
230,b_230,,,,,,,,,,,,,,,,,,,,공란,
231,b_231,,,,,,,,,,,,,,,,,,,,공란,
232,b_232,,,,,,,,,,,,,,,,,,,,공란,
233,b_233,,,,,,,,,,,,,,,,,,,,공란,
234,b_234,,,,,,,,,,,,,,,,,,,,공란,
235,b_235,욕지,yokji,"42, 69, 18",통영,,,통영,,,창원,,,,,,,,,,,
236,b_236,통영,tongyeong,"42, 69, 18",통영,,,통영,,,창원,,,,,,,,,,,
237,b_237,장목,jangmok,"42,48,63",연초,,,거제,,,창원,,,,,,,,,,,
238,b_238,감곡,gamgok,"1,12,175",금왕,,,청북,,,충청,,,,,,,,,,,
239,b_239,소태,sotae,"85, 186, 41",금가,,,충주,,,충청,,,,,,,,,,,
240,b_240,흥업,heungeop,"0, 81, 20",흥업,,,원주,,,영서,,,,,,,,,,,
241,b_241,대강,daegang,"169,171,32",단양,,,제천,,,충청,,,,,,,,,,,
242,b_242,,,,,,,,,,,,,,,,,,,,공란,
243,b_243,,,,,,,,,,,,,,,,,,,,공란,
244,b_244,석포,seokpo,"127,45,174",춘양,,,봉화,,,안동,,,,,,,,,,,
245,b_245,사북,sabuk,"0,96,150",사북,,,평창,,,영서,,,,,,,,,,,
246,b_246,삼척,samcheok,"44,87,28",동해,,,동해,,,영동,,,,,,,,,,,
247,b_247,수주,mureungdowon(suju),"43, 192, 163",월서,,,영월,,,영서,,,,,,,,,,c-d불일치,
248,b_248,,,,,,,,,,,,,,,,,,,,공란,
249,b_249,율면,yulmyeon,"43, 180, 203",장호원,,,용인,,,경기,,,,,,,,,,,
250,b_250,산북,sanbuk,"85,183,76",능서,,,여주,,,경기,,,,,,,,,,,
251,b_251,개군,gaegun,"85,0,81",양평,,,여주,,,경기,,,,,,,,,,,
252,b_252,온산,onsan,"84, 117, 26",울주,,,울산,,,포항,,,,,,,,,,,
253,b_253,설악,seolak,"126, 120, 154",설악,,,가평,,,개성,,,,,,,,,,,
254,b_254,임한,imhan,"1,108,70",홍교,,,개성,,,개성,,,,,,,,,,,
255,b_255,개성,gaeseong,"0, 126, 155",개성,,,개성,,,개성,,,,,,,,,,,
256,b_256,장단,jangdan,"42, 129, 28",장단,,,장단,,,개성,,,,,,,,,,,
257,b_257,청산,cheongsan,"85, 39, 186",연천,,,연천,,,개성,,,,,,,,,,,
258,b_258,마장,majang,"169, 168, 172",묘장(북철원),,,철원,,,철원,,,,,,,,,,,
259,b_259,병참부,w.gimhwa,"169,153,42",김화,,,김화,,,철원,,,,,,,,,,c-d불일치,
260,b_260,사내,sanae,"43, 147, 133",화천,,,김화,,,철원,,,,,,,,,,,
261,b_261,석사,seoksa,"1, 45, 95",한천,,,봉천,,,해주,,,,,,,,,,,
262,b_262,염전,yeomjeon,"84, 137, 31",염전,,,연안,,,해주,,,,,,,,,,,
263,b_263,세포,sepo,"1, 186, 175",현내,,,철원,,,철원,,,,,,,,,,,
264,b_264,산참,e.ichen,"1,3,180",이천,,,이천,,,철원,,,,,,,,,,c-d불일치,
265,b_265,황룡,hwangryong,"169,27,92",봉천,,,봉천,,,해주,,,,,,,,,,,
266,b_266,,,,,,,,,,,,,,,,,,,,공란,
267,b_267,상남,naerincheon,"43, 117, 128",지린,,,인제,,,철원,,,,,,,,,,c-d불일치,
268,b_268,속초,sokcho,"126, 165, 34",속초,,,속초,,,영동,,,,,,,,,,,
269,b_269,,,,,,,,,,,,,,,,,,,,공란,
270,b_270,미탄,mitan,"1, 144, 155",평창,,,평창,,,영서,,,,,,,,,,,
271,b_271,양양,yangyang,"42, 174, 163",양양,,,속초,,,영동,,,,,,,,,,,
272,b_272,,,,,,,,,,,,,,,,,,,,공란,
273,b_273,,,,,,,,,,,,,,,,,,,,공란,
274,b_274,임당,e.yanggu,"168,183,37",해안,,,인제,,,철원,,,,,,,,,,c-d불일치,
275,b_275,발산,s.chuncheon,"127, 183, 139",남산,,,춘천,,,영서,,,,,,,,,,c-d불일치,
276,b_276,장전,jangjeon,"42,189,38",장천,,,통천,,,영동,,,,,,,,,,,
277,b_277,하북,habuk,"1, 96, 160",회양,,,회양,,,철원,,,,,,,,,,,
278,b_278,,,,,,,,,,,,,,,,,,,,공란,
279,b_279,배화,baehwa,"43, 90, 188",배화,,,원산,,,원산,,,,,,,,,,,
280,b_280,풍하,pungha,"43, 165, 178",덕원,,,원산,,,원산,,,,,,,,,,,
281,b_281,북성,bukseong,"43, 165, 178",덕원,,,원산,,,원산,,,,,,,,,,,
282,b_282,송현,songhyeon,"43, 108, 133",강령,,,옹진,,,해주,,,,,,,,,,,
283,b_283,해주,haeju,"126, 210, 169",해주,,,해주,,,해주,,,,,,,,,,,
284,b_284,제작,jejak,"168,0,42",읍저,,,옹진,,,해주,,,,,,,,,,,
285,b_285,등암,deungam,"42, 6, 43",순위,,,옹진,,,해주,,,,,,,,,,,
286,b_286,순위,sunwi,"42, 6, 43",순위,,,옹진,,,해주,,,,,,,,,,,
287,b_287,광천,gwangcheon,"43, 138, 138",장연,,,장연,,,안악,,,,,,,,,,,
288,b_288,월사,wolsa,"85, 186, 146",신평,,,송화,,,안악,,,,,,,,,,,
289,b_289,서곡,seogok,"43, 60, 33",은률,,,은천,,,안악,,,,,,,,,,,
290,b_290,패엽,paeyeop,"43, 90, 38",안악,,,안악,,,안악,,,,,,,,,,,
291,b_291,오국,oguk,"43,90,38",안악,,,안악,,,안악,,,,,,,,,,,
292,b_292,김제원,gimjewon,"1, 87, 165",원룡,,,안악,,,안악,,,,,,,,,,,
293,b_293,선정,seonjeong,"168, 30, 47",사리원,,,사리원,,,황주,,,,,,,,,,,
294,b_294,사리원,sariwon,"168, 30, 47",사리원,,,사리원,,,황주,,,,,,,,,,,
295,b_295,송림,songrim,"0,33,175",송림,,,황주,,,황주,,,,,,,,,,,
296,b_296,풍답,pungdap,"42,36,48",연탄,,,황주,,,황주,,,,,,,,,,,
297,b_297,화야,hwaya,"43, 3, 88",신계,,,신계,,,황주,,,,,,,,,,,
298,b_298,오봉,obong,"85, 153, 176",성매,,,수안,,,황주,,,,,,,,,,,
299,b_299,해압,haeap,"169, 18, 42",중화,,,중화,,,평양,,,,,,,,,,,
300,b_300,서화,seohwa,"169, 18, 42",해운,,,남포,,,평양,,,,,,,,,,,
301,b_301,적송,jeoksong,"169,18,42",적송,,,강소,,,평양,,,,,,,,,,,
302,b_302,서천,seocheon,"169,18,242",평양,,,평양,,,평양,,,,,,,,,,,
303,b_303,평양,pyeongyang,"169,18,242",평양,,,평양,,,평양,,,,,,,,,,,
304,b_304,봉진,bongjin,"169,18,242",삼속,,,강동,,,평양,,,,,,,,,,,
305,b_305,삼흥,samheung,"169,18,242",회창,,,송촌,,,묘향,,,,,,,,,,,
306,b_306,대륜,daeryun,"169,18,242",양덕,,,송촌,,,묘향,,,,,,,,,,,
307,b_307,한천,hancheon,"169,18,42",적송,,,강소,,,평양,,,,,,,,,,,
308,b_308,사인,sain,"169, 118, 142",평성,,,순천,,,평양,,,,,,,,,,,
309,b_309,학천,hakcheon,"169,18,242",북창,,,맹산,,,묘향,,,,,,,,,,,
310,b_310,립석,libseok,"169,18,42",룡화,,,안주,,,평양,,,,,,,,,,,
311,b_311,중남,jungnam,"169, 118, 142",조양,,,순천,,,평양,,,,,,,,,,,
312,b_312,성양,seongyang,"169,18,242",덕천,,,맹산,,,묘향,,,,,,,,,,,
313,b_313,태극,taegeuk,"169,18,242",녕원,,,맹산,,,묘향,,,,,,,,,,,
