프로빈스 번호	인게임 코드	한국어 명칭	영문 명칭	RGB	백작령	백작령코드명	백작령 색상	공작령	공작령코드명	공작령 색상	왕국령	왕국령코드명	왕국령 색상	제국령	제국령코드명	제국령 색상	문화	종교	홀딩	지형	특이사항	end
55	b_55	퇴계원	toegyewon	43,42,88	의정부			의정부			개성	k_gaeseong										end
56	b_56	내장	naejang	42,57,163	정읍			정읍			익산	k_iksan		신복련	e_hec							end
57	b_57	미성	miseong	85, 159, 151	군산			군산			전주	k_jeonju		신복련	e_hec							end
58	b_58	서일산	w.ilsan	127,24,14	고양			고양			개성	k_gaeseong										end
59	b_59	월곳	wolgot	1,45,145	통진			김포			인천	k_incheon										end
60	b_60	오류	oryuwang	0,180,30	서구			인천			인천	k_incheon									c-d불일치	end
61	b_61	계양	gyeyang	42, 183, 158	부평			부평			인천	k_incheon										end
62	b_62	부천	bucheon	84,186,31	부천			부평			인천	k_incheon										end
63	b_63	부평	bupyeong	63, 126, 189	부평			부평			인천	k_incheon										end
64	b_64	청라	cheongra	168,192,32	서구			인천			인천	k_incheon										end
65	b_65	미추홀	michuhol	0, 195, 160	인천			인천			인천	k_incheon										end
66	b_66	연수	yeonsu	42,198,33	인천			인천			인천	k_incheon										end
67	b_67	구월	guwol	84, 201, 161	인천			인천			인천	k_incheon										end
68	b_68	옥야	okya	169, 195, 257	익산			익산			익산	k_iksan		신복련	e_hec							end
69	b_69	광명	gwangmyeong	0,210,35	안양			안산			경기	k_gyeonggi										end
70	b_70	안양	anyang	0,210,35	안양			안산			경기	k_gyeonggi										end
71	b_71	팔봉	palbong	169, 195, 257	익산			익산			익산	k_iksan		신복련	e_hec							end
72	b_72	북일	bukil	169, 195, 257	익산			익산			익산	k_iksan		신복련	e_hec							end
73	b_73	수암	suam	84,186,31	안산			안산			경기	k_gyeonggi										end
74	b_74	상록	sangrok	84,86,131	안산			안산			경기	k_gyeonggi										end
75	b_75	군포	gunpo	168,39,42	안양			안산			경기	k_gyeonggi										end
76	b_76	의왕	uiwang	168,39,42	과천			안산			경기	k_gyeonggi										end
77	b_77	양사	yangsa	84,18,166	양사			강화도			인천	k_incheon										end
78	b_78	석모	seokmo	126,21,39	석모			강화도			인천	k_incheon										end
79	b_79	교동	gyodong	168,24,167	교동			강화도			인천	k_incheon										end
80	b_80	영종도	yeongjongdo	0,27,40	영종도			영종도			인천	k_incheon										end
81	b_81	조리	jori	169,63,27	파주			고양			개성	k_gaeseong										end
82	b_82	동두천	dongducheon	84,33,41	동두천			포천			개성	k_gaeseong										end
83	b_83	가산	gasan	1,21,20	소흘			포천			개성	k_gaeseong										end
84	b_84	수원	suwon	168,39,42	수원			수원			경기	k_gyeonggi										end
85	b_85	수지	suji	43,90,188	기흥			용인			경기	k_gyeonggi										end
86	b_86																				통행불가산	end
87	b_87																				공란	end
88	b_88																				공란	end
89	b_89	설성	seolseong	43, 180, 203	장호원			용인			경기	k_gyeonggi										end
90	b_90																				공란	end
91	b_91																				공란	end
92	b_92																				공란	end
93	b_93																				공란	end
94	b_94																				공란	end
95	b_95	오성	oseong	85, 174, 131	안중			평택			경기	k_gyeonggi										end
96	b_96																				공란	end
97	b_97	탕정	tangjeong	43,96,218	온양			온양			공홍	k_gonghong										end
98	b_98	광덕	gwangdeok	127, 132, 224	천안			천안			공홍	k_gonghong										end
99	b_99	소정	sojeong	128, 111, 224	조치원			공주			공홍	k_gonghong										end
100	b_100	유구	yugu	0,87,50	유구			공주			공홍	k_gonghong										end
101	b_101	봉산	bongsan	44,0,78	삽교			홍주			공홍	k_gonghong										end
102	b_102	석문	seokmun	86,63,216	당진			서산			공홍	k_gonghong										end
103	b_103	포지	poji	126,36,84	태안			서산			공홍	k_gonghong										end
104	b_104	금마	geumma	2, 150, 195	홍주			홍주			공홍	k_gonghong										end
105	b_105	안면	anmyeon	0,102,80	안면			서산			공홍	k_gonghong										end
106	b_106	울릉	ulleung	42,105,53	울릉			울릉			울릉	k_ulleung										end
107	b_107	화성	hwaseong	170,117,62	청양			보령			공홍	k_gonghong										end
108	b_108	주포	jupo	169,21,7	보령			보령			공홍	k_gonghong										end
109	b_109	초촌	chochon	86,198,11	부여			부여			공홍	k_gonghong										end
110	b_110	신대	sindae	170,144,2	청원			청주			충청	k_chungcheong										end
111	b_111	대덕	daedeok	42, 120, 183	대전			대전			대전	k_daejeon										end
112	b_112	속리	sokri	84,123,56	속리			보은			충청	k_chungcheong										end
113	b_113	유천	yucheon	1, 111, 185	용문			문경			상주	k_sangju										end
114	b_114	망성	mangseong	85,204,31	여산			익산			익산	k_iksan		신복련	e_hec							end
115	b_115	계룡	gyeryong	0, 132, 185	계룡			논산			공홍	k_gonghong										end
116	b_116	논산	nonsan	42,135,58	논산			논산			공홍	k_gonghong										end
117	b_117	제원	jewon	43,75,208	금산			진산			대전	k_daejeon										end
118	b_118	경천	gyeongcheon	1,45,40	고산			전주			전주	k_jeonju		신복련	e_hec							end
119	b_119	덕진	deokjin	43,156,23	전주			전주			전주	k_jeonju		신복련	e_hec							end
120	b_120	백구	baekgu	0,147,60	백구			김제			익산	k_iksan		신복련	e_hec							end
121	b_121	줄포	julpo	84,87,76	보안			부안			익산	k_iksan		신복련	e_hec							end
122	b_122	동향	donghyang	169,72,172	주천			진안			전주	k_jeonju		신복련	e_hec							end
123	b_123	산내	sannae	168,81,167	칠보			정읍			익산	k_iksan		신복련	e_hec							end
124	b_124	지사	jisa	0,114,45	임실			임실			전주	k_jeonju		신복련	e_hec							end
125	b_125	계남	gyenam	42,42,33	장계			진안			전주	k_jeonju		신복련	e_hec							end
126	b_126	성내	seongnae	42,174,13	흥덕			고창			익산	k_iksan		신복련	e_hec							end
127	b_127	홍농	hongnong	84, 168, 191	홍농			영광			무안	k_muan										end
128	b_128	남면	nammyeon	0, 141, 135	창평			담양			광주	k_gwangju										end
129	b_129	운암	unam	168, 174, 192	광주			광주			광주	k_gwangju										end
130	b_130	효덕	hyodeok	0,177,65	광주			광주			광주	k_gwangju										end
131	b_131	빛가람	bitgaram	42, 180, 193	빛가람			나주			무안	k_muan										end
132	b_132																				공란	end
133	b_133	망운	mangun	83, 150, 201	무안			무안			무안	k_muan										end
134	b_134	시종	sijong	168,189,67	시종			영암			무안	k_muan										end
135	b_135	송지	songji	0, 192, 105	송지			해남			무안	k_muan										end
136	b_136	신전	sinjeon	42, 195, 173	강진			강진			고흥	k_goheung										end
137	b_137	장평	jangpyeong	84, 198, 196	장평			장흥			고흥	k_goheung										end
138	b_138	무동	mudong	0, 141, 135	창평			담양			광주	k_gwangju										end
139	b_139	회천	hoecheon	0, 129, 70	보성			보성			고흥	k_goheung										end
140	b_140	황천	hwangcheon	84,9,21	승주			순천			여수	k_yeosu										end
141	b_141	고달	godal	126, 42, 154	곡성			곡성			여수	k_yeosu										end
142	b_142	아영	ayeong	0, 138, 170	운봉			남원			전주	k_jeonju		신복련	e_hec							end
143	b_143	간전	ganjeon	168,165,47	토지			광양			여수	k_yeosu										end
144	b_144	진월	jinwol	168,60,157	오곡			광양			여수	k_yeosu										end
145	b_145	진교	jingyo	0, 198, 180	금양			산청			가야	k_gaya										end
146	b_146	증평	jeungpyeong	42,12,73	증평			청서			충청	k_chungcheong										end
147	b_147	불정	buljeong	127,72,214	연풍			청서			충청	k_chungcheong										end
148	b_148	삼천포	samcheonpo	126,18,74	삼천포			사천			진주	k_jinju										end
149	b_149	휴천	hyucheon	0,24,30	함양			거창			가야	k_gaya										end
150	b_150	유림	yurim	0,24,30	함양			거창			가야	k_gaya										end
151	b_151	무풍	mupung	127,99,49	무주			진안			전주	k_jeonju		신복련	e_hec							end
152	b_152	추풍령	chupungryeong	127,127,54	황간			옥천			대전	k_daejeon										end
153	b_153	이안	ian	43,39,173	함창			상주			상주	k_sangju										end
154	b_154	동로	dongro	127,27,79	문경			문경			상주	k_sangju										end
155	b_155	구절	gujeol	168, 117, 202	고성			사천			진주	k_jinju										end
156	b_156	이반성	ibanseong	168, 114, 137	진성			진주			진주	k_jinju										end
157	b_157	차황	chahwang	126,66,129	산청			산청			가야	k_gaya										end
158	b_158	신원	sinwon	84,210,61	가조			거창			가야	k_gaya										end
159	b_159																				공란	end
160	b_160	도개	dogae	127,36,74	서산			김천			상주	k_sangju										end
161	b_161	개포	gaepo	43,36,208	용궁			문경			상주	k_sangju										end
162	b_162	평은	pyeongeun	127,90,54	영주			영주			안동	k_andong										end
163	b_163	예안	yean	170,55,90	예안			안동			안동	k_andong										end
164	b_164	수비	subi	85, 183, 226	영양			청송			안동	k_andong										end
165	b_165	의성	uiseong	0,69,210	의성			의성			안동	k_andong										end
166	b_166	고로	goro	85,63,206	의흥			군위			안동	k_andong										end
167	b_167	흥덕	heungdeok	84,75,211	흥덕			청주			충청	k_chungcheong										end
168	b_168	올항	wolhang	85,201,66	성주			성주			대구	k_daegu										end
169	b_169	해인	haein	168, 138, 212	합천			합천			가야	k_gaya										end
170	b_170	다산	dasan	43,96,13	성산			성주			대구	k_daegu										end
171	b_171	낙서	nakseo	168,159,17	부림			합천			가야	k_gaya										end
172	b_172	칠북	chilbuk	84, 183, 21	칠원			함안			가야	k_gaya										end
173	b_173	회언	hoewon	126,93,214	회원			창원			창원	k_changwon										end
174	b_174	대구	daegu	168,96,87	대구			대구			대구	k_daegu										end
175	b_175	가창	gachang	1, 93, 140	옥포			대구			대구	k_daegu										end
176	b_176	성산	seongsan	126, 3, 154	창녕			밀양			경주	k_gyeongju										end
177	b_177	대동	daedong	84, 105, 216	대동			김해			부산	k_busan										end
178	b_178	장안	jangan	126,21,94	기장			부산			부산	k_busan										end
179	b_179	웅상	ungsang	168, 111, 217	웅산			양산			경주	k_gyeongju										end
180	b_180	산내	sannae	127,79,9	단장			밀양			경주	k_gyeongju										end
181	b_181	방어진	bangeojin	168,183,92	울산			울산			포항	k_pohang										end
182	b_182	운문	unmun	0,207,25	청도			경산			경주	k_gyeongju										end
183	b_183	감포	gampo	126, 123, 219	감포			포항			포항	k_pohang										end
184	b_184	신녕	sinnyeong	0,66,200	청통			영천			경주	k_gyeongju										end
185	b_185																				공란	end
186	b_186																				공란	end
187	b_187																				공란	end
188	b_188																				공란	end
189	b_189																				공란	end
190	b_190	호미곶	homigoj	42,162,53	구룡포			포항			포항	k_pohang										end
191	b_191	진보	jinbo	1, 147, 220	청송			청송			안동	k_andong										end
192	b_192	병곡	byeonggok	85,168,96	영해			울진			포항	k_pohang										end
193	b_193																				공란	end
194	b_194	지도	jido	168,156,97	지도			신안			신안	k_sinan										end
195	b_195	임자	imja	168,158,97	지도			신안			신안	k_sinan										end
196	b_196	사옥	saok	168,158,97	지도			신안			신안	k_sinan										end
197	b_197	중도	jungdo	168,158,97	지도			신안			신안	k_sinan										end
198	b_198	운남	unnam	84, 150, 201	무안			무안			무안	k_muan										end
199	b_199	신안	sinan	168, 171, 227	신안			신안			신안	k_sinan										end
200	b_200	재운	jaeun	168, 171, 227	신안			신안			신안	k_sinan										end
201	b_201																				공란	end
202	b_202																				공란	end
203	b_203																				공란	end
204	b_204																				공란	end
205	b_205																				공란	end
206	b_206	암태	amtae	168, 171, 227	신안			신안			신안	k_sinan										end
207	b_207	팔금	palgeum	168, 171, 227	신안			신안			신안	k_sinan										end
208	b_208	안좌	anjwa	168, 171, 227	신안			신안			신안	k_sinan										end
209	b_209	비금	bigeum	168, 201, 132	비금			신안			신안	k_sinan										end
210	b_210	도초	docho	168, 201, 132	비금			신안			신안	k_sinan										end
211	b_211	하의	haui	42, 207, 133	하의			신안			신안	k_sinan										end
212	b_212	신의	sinui	42, 207, 133	하의			신안			신안	k_sinan										end
213	b_213	장산	jangsan	42, 207, 133	하의			신안			신안	k_sinan										end
214	b_214	군내	gunnae	84, 138, 36	진도			진도			신안	k_sinan										end
215	b_215	조도	jodo	84, 138, 36	진도			진도			신안	k_sinan										end
216	b_216	복일	bogil	84,12,136	노화			완도			고흥	k_goheung										end
217	b_217	노화	nohwa	84, 12, 136	노화			완도			고흥	k_goheung										end
218	b_218	소안	soan	84, 12, 136	노화			완도			고흥	k_goheung										end
219	b_219	군외	gunoe	0, 147, 165	완도			완도			고흥	k_goheung										end
220	b_220	고금	gogeum	0, 21, 10	고금			완도			고흥	k_goheung										end
221	b_221	약산	yaksan	0, 21, 10	고금			완도			고흥	k_goheung										end
222	b_222	산지	sanji	0, 21, 10	고금			완도			고흥	k_goheung										end
223	b_223	청산	cheongsan	0, 147, 165	완도			완도			고흥	k_goheung										end
224	b_224	금호	geumho	42,51,28	광양			광양			여수	k_yeosu										end
225	b_225	미조	mijo	0, 15, 185	물건			통영			창원	k_changwon										end
226	b_226	창선	changseon	42, 39, 13	창선			통영			창원	k_changwon										end
227	b_227	용남	yongnam	42, 123, 203	광도			통영			창원	k_changwon										end
228	b_228	사량	saryang	42, 69, 18	통영			통영			창원	k_changwon										end
229	b_229	한산	hansan	42, 69, 18	통영			통영			창원	k_changwon										end
230	b_230																				공란	end
231	b_231																				공란	end
232	b_232																				공란	end
233	b_233																				공란	end
234	b_234																				공란	end
235	b_235	욕지	yokji	42, 69, 18	통영			통영			창원	k_changwon										end
236	b_236	통영	tongyeong	42, 69, 18	통영			통영			창원	k_changwon										end
237	b_237	장목	jangmok	42,48,63	연초			거제			창원	k_changwon										end
238	b_238	감곡	gamgok	1,12,175	금왕			청북			충청	k_chungcheong										end
239	b_239	소태	sotae	85, 186, 41	금가			충주			충청	k_chungcheong										end
240	b_240	흥업	heungeop	0, 81, 20	흥업			원주			영서	k_yeongseo										end
241	b_241	대강	daegang	169,171,32	단양			제천			충청	k_chungcheong										end
242	b_242																				공란	end
243	b_243																				공란	end
244	b_244	석포	seokpo	127,45,174	춘양			봉화			안동	k_andong										end
245	b_245	사북	sabuk	0,96,150	사북			평창			영서	k_yeongseo										end
246	b_246	삼척	samcheok	44,87,28	동해			동해			영동	k_yeongdong										end
247	b_247	수주	mureungdowon(suju)	43, 192, 163	월서			영월			영서	k_yeongseo									c-d불일치	end
248	b_248																				공란	end
249	b_249	율면	yulmyeon	43, 180, 203	장호원			용인			경기	k_gyeonggi										end
250	b_250	산북	sanbuk	85,183,76	능서			여주			경기	k_gyeonggi										end
251	b_251	개군	gaegun	85,0,81	양평			여주			경기	k_gyeonggi										end
252	b_252	온산	onsan	84, 117, 26	울주			울산			포항	k_pohang										end
253	b_253	설악	seolak	126, 120, 154	설악			가평			개성	k_gaeseong										end
254	b_254	임한	imhan	1,108,70	홍교			개성			개성	k_gaeseong										end
255	b_255	개성	gaeseong	0, 126, 155	개성			개성			개성	k_gaeseong										end
256	b_256	장단	jangdan	42, 129, 28	장단			장단			개성	k_gaeseong										end
257	b_257	청산	cheongsan	85, 39, 186	연천			연천			개성	k_gaeseong										end
258	b_258	마장	majang	169, 168, 172	묘장(북철원)			철원			철원	k_cherwon										end
259	b_259	병참부	w.gimhwa	169,153,42	김화			김화			철원	k_cherwon									c-d불일치	end
260	b_260	사내	sanae	43, 147, 133	화천			김화			철원	k_cherwon										end
261	b_261	석사	seoksa	1, 45, 95	한천			봉천			해주	k_haeju										end
262	b_262	염전	yeomjeon	84, 137, 31	염전			연안			해주	k_haeju										end
263	b_263	세포	sepo	1, 186, 175	현내			철원			철원	k_cherwon										end
264	b_264	산참	e.ichen	1,3,180	이천			이천			철원	k_cherwon									c-d불일치	end
265	b_265	황룡	hwangryong	169,27,92	봉천			봉천			해주	k_haeju										end
266	b_266																				공란	end
267	b_267	상남	naerincheon	43, 117, 128	지린			인제			철원	k_cherwon									c-d불일치	end
268	b_268	속초	sokcho	126, 165, 34	속초			속초			영동	k_yeongdong										end
269	b_269																				공란	end
270	b_270	미탄	mitan	1, 144, 155	평창			평창			영서	k_yeongseo										end
271	b_271	양양	yangyang	42, 174, 163	양양			속초			영동	k_yeongdong										end
272	b_272																				공란	end
273	b_273																				공란	end
274	b_274	임당	e.yanggu	168,183,37	해안			인제			철원	k_cherwon									c-d불일치	end
275	b_275	발산	s.chuncheon	127, 183, 139	남산			춘천			영서	k_yeongseo									c-d불일치	end
276	b_276	장전	jangjeon	42,189,38	장천			통천			영동	k_yeongdong										end
277	b_277	하북	habuk	1, 96, 160	회양			회양			철원	k_cherwon										end
278	b_278																				공란	end
279	b_279	배화	baehwa	43, 90, 188	배화			원산			원산	k_wonsan										end
280	b_280	풍하	pungha	43, 165, 178	덕원			원산			원산	k_wonsan										end
281	b_281	북성	bukseong	43, 165, 178	덕원			원산			원산	k_wonsan										end
282	b_282	송현	songhyeon	43, 108, 133	강령			옹진			해주	k_haeju										end
283	b_283	해주	haeju	126, 210, 169	해주			해주			해주	k_haeju										end
284	b_284	제작	jejak	168,0,42	읍저			옹진			해주	k_haeju										end
285	b_285	등암	deungam	42, 6, 43	순위			옹진			해주	k_haeju										end
286	b_286	순위	sunwi	42, 6, 43	순위			옹진			해주	k_haeju										end
287	b_287	광천	gwangcheon	43, 138, 138	장연			장연			안악	k_anak										end
288	b_288	월사	wolsa	85, 186, 146	신평			송화			안악	k_anak										end
289	b_289	서곡	seogok	43, 60, 33	은률			은천			안악	k_anak										end
290	b_290	패엽	paeyeop	43, 90, 38	안악			안악			안악	k_anak										end
291	b_291	오국	oguk	43,90,38	안악			안악			안악	k_anak										end
292	b_292	김제원	gimjewon	1, 87, 165	원룡			안악			안악	k_anak										end
293	b_293	선정	seonjeong	168, 30, 47	사리원			사리원			황주	k_hwangju										end
294	b_294	사리원	sariwon	168, 30, 47	사리원			사리원			황주	k_hwangju										end
295	b_295	송림	songrim	0,33,175	송림			황주			황주	k_hwangju										end
296	b_296	풍답	pungdap	42,36,48	연탄			황주			황주	k_hwangju										end
297	b_297	화야	hwaya	43, 3, 88	신계			신계			황주	k_hwangju										end
298	b_298	오봉	obong	85, 153, 176	성매			수안			황주	k_hwangju										end
299	b_299	해압	haeap	169, 18, 42	중화			중화			평양	k_prk										end
300	b_300	서화	seohwa	169, 18, 42	해운			남포			평양	k_prk										end
301	b_301	적송	jeoksong	169,18,42	적송			강소			평양	k_prk										end
302	b_302	서천	seocheon	169,18,242	평양			평양			평양	k_prk										end
303	b_303	평양	pyeongyang	169,18,242	평양			평양			평양	k_prk										end
304	b_304	봉진	bongjin	169,18,242	삼속			강동			평양	k_prk										end
305	b_305	삼흥	samheung	169,18,242	회창			송촌			묘향	k_myohyang										end
306	b_306	대륜	daeryun	169,18,242	양덕			송촌			묘향	k_myohyang										end
307	b_307	한천	hancheon	169,18,42	적송			강소			평양	k_prk										end
308	b_308	사인	sain	169, 118, 142	평성			순천			평양	k_prk										end
309	b_309	학천	hakcheon	169,18,242	북창			맹산			묘향	k_myohyang										end
310	b_310	립석	libseok	169,18,42	룡화			안주			평양	k_prk										end
311	b_311	중남	jungnam	169, 118, 142	조양			순천			평양	k_prk										end
312	b_312	성양	seongyang	169,18,242	덕천			맹산			묘향	k_myohyang										end
313	b_313	태극	taegeuk	169,18,242	녕원			맹산			묘향	k_myohyang										end
314	b_314	용계	yonggye	128, 42, 164	박천			박천			신의주	k_sinuiju										end
315	b_315	봉산	bongsan	170, 90, 172	영변			영변			영변	k_yeongbyeon										end
316	b_316	안흥	anheung	44,48,73	곽산			정주			신의주	k_sinuiju										end
317	b_317	심천	simcheon	84,99,186	심천			철산			신의주	k_sinuiju										end
318	b_318	서림	seorim	2,90,80	가산			철산			신의주	k_sinuiju										end
319	b_319	율곡	yulgok	86,96,81	동당			신의주			신의주	k_sinuiju										end
320	b_320	신의주	sinuiju	0, 108, 60	신의주			신의주			신의주	k_sinuiju										end
321	b_321	위화	wihwa	44, 3, 193	신의주			신의주			신의주	k_sinuiju										end
322	b_322	소관	sogwan	84, 114, 61	소관			구성			신의주	k_sinuiju										end
323	b_323	청수	cheongsu	86, 159, 56	삭주			삭주			영변	k_yeongbyeon										end
324	b_324	안심	ansim	86, 129, 51	송구			박천			신의주	k_sinuiju										end
325	b_325	성면	seongmyeon	86,99,46	운산			영변			영변	k_yeongbyeon										end
326	b_326	동창	dongchang	170, 135, 52	청산			삭주			영변	k_yeongbyeon										end
327	b_327	오북	obuk	86, 18, 131	벽동			벽동			영변	k_yeongbyeon										end
328	b_328	희천	huicheon	126,132,64	희천			희천			영변	k_yeongbyeon										end
329	b_329	초산	chosan	168, 135, 192	초산			벽동			영변	k_yeongbyeon										end
330	b_330	서태	seotae	2,87,15	위원			위원			자성	k_jaseong										end
331	b_331	곡산	goksan	42, 141, 193	곡산			수안			황주	k_hwangju										end
332	b_332	자성	jaseong	84,144,66	자성			자성			자성	k_jaseong										end
333	b_333	고원	wonsan	126, 147, 194	고원			영흥			원산	k_wonsan										end
334	b_334	호도	hodo	169, 6, 187	진평			영흥			원산	k_wonsan										end
335	b_335	주이	jui	86, 141, 216	정평			정평			원산	k_wonsan										end
336	b_336	동신	dongsin	2, 177, 30	후창			자성			자성	k_jaseong										end
337	b_337	동문	dongmun	44, 165, 28	대흥			삼수			백두	k_baekdu										end
338	b_338	덕실	deoksil	86, 153, 26	장진			삼수			백두	k_baekdu										end
339	b_339	연포	yeonpo	42, 171, 198	흥남			함흥			함흥	k_hamheung										end
340	b_340	함흥	hamheung	170, 114, 147	함흥			함흥			함흥	k_hamheung										end
341	b_341	흥남	heungnam	170, 114, 147	흥남			함흥			함흥	k_hamheung										end
342	b_342	가평	gapyeong	170, 144, 152	신흥			신흥			백두	k_baekdu										end
343	b_343	홍원	hongwon	126, 177, 199	홍원			함흥			함흥	k_hamheung										end
344	b_344	신파	sinpa	168, 180, 72	신파			삼수			백두	k_baekdu										end
345	b_345	풍산	pungsan	0, 183, 200	풍산			신흥			백두	k_baekdu										end
346	b_346	신포	sinpo	42, 186, 73	신포			북청			함흥	k_hamheung										end
347	b_347	차호	chaho	2, 96, 215	이원			단천			함흥	k_hamheung										end
348	b_348	단천	dancheon	126, 192, 74	단천			단천			함흥	k_hamheung										end
349	b_349	학동	hakdong	0, 198, 75	성진			성진			청진	k_cheongjin										end
350	b_350	성진	seongjin	0, 198, 75	성진			성진			청진	k_cheongjin										end
351	b_351	길주	gilju	42, 201, 203	길주			성진			청진	k_cheongjin										end
352	b_352	진동	jindong	2, 114, 55	갑산			갑산			백두	k_baekdu										end
353	b_353	별동	byeoldong	170, 126, 57	운흥			갑산			백두	k_baekdu										end
354	b_354	영북	yeongbuk	86, 12, 201	무산			무산			백두	k_baekdu										end
355	b_355	호남	honam	86, 165, 41	명천			성진			청진	k_cheongjin										end
356	b_356	어대진	eodaejin	2, 159, 40	청진			청진			청진	k_cheongjin										end
357	b_357																				공란	end
358	b_358	삼해	samhae	126, 9, 79	삼해			청진			청진	k_cheongjin										end
359	b_359	회령	hoeryeong	168, 12, 207	회령			청진			청진	k_cheongjin										end
360	b_360	풍해	punghae	42, 18, 208	나진			나진			청진	k_cheongjin										end
361	b_361	나진	najin	42, 18, 208	나진			나진			청진	k_cheongjin										end
362	b_362	종성	jongseong	84, 21, 81	종성			나진			청진	k_cheongjin										end
363	b_363																				공란	end
364	b_364																				공란	end
365	b_365																				공란	end
366	b_366																				공란	end
367	b_367																				공란	end
368	b_368	유덕	yudeok	128, 75, 84	용덕			나진			청진	k_cheongjin										end
369	b_369	훈융	hunyung	128, 60, 209	온성			나진			청진	k_cheongjin										end
370	b_370																				공란	end
371	b_371																				공란	end
372	b_372																				공란	end
373	b_373																				공란	end
374	b_374																				공란	end
375	b_375																				공란	end
376	b_376																				공란	end
377	b_377																				공란	end
378	b_378																				공란	end
379	b_379																				공란	end
380	b_380																				공란	end
381	b_381																				공란	end
382	b_382																				공란	end
383	b_383																				공란	end
384	b_384																				공란	end
385	b_385																				공란	end
386	b_386																				공란	end
387	b_387																				공란	end
388	b_388																				공란	end
389	b_389																				공란	end
390	b_390																				공란	end
391	b_391																				공란	end
392	b_392																				공란	end
393	b_393																				공란	end
394	b_394																				공란	end
395	b_395																				공란	end
396	b_396																				공란	end
397	b_397																				공란	end
398	b_398																				공란	end
399	b_399																				공란	end
400	b_400																				공란	end
401	b_401	화북	hwabuk	0, 102, 30	제주			제주			제주	k_jeju										end
402	b_402																				공란	end
403	b_403	애월	aewol	126, 144, 129	애월			서귀포			제주	k_jeju										end
404	b_404	고산	gosan	42, 75, 153	한경			서귀포			제주	k_jeju										end
405	b_405																				공란	end
406	b_406	중문	jungmun	42, 90, 28	안덕			서귀포			제주	k_jeju										end
407	b_407	보목	bomok	126, 96, 29	서귀포			서귀포			제주	k_jeju										end
408	b_408	표선	pyoseon	126, 159, 4	표선			제주			제주	k_jeju										end
409	b_409																				공란	end
